id,labels,properties,profondeur
1,SynapseSet:SynapseDet:medulla7column_SynapseSet,,1
2,Segment:Neurons:medulla7column_Segment,,1
3,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:?cropped:?distal:?instance:?proximal:?status:?statusLabel:?type,2
4,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:?cropped:?distal:?instance:?proximal:?status:?statusLabel,3
5,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal,4
6,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal,5
7,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?proximal,6
8,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal,6
9,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal,5
10,Neurons:Segment:medulla7column_Segment,bodyId:distal:post:pre:proximal:roiInfo:size,4
11,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,3
12,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,4
13,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:cropped:post:pre:roiInfo:size:status:statusLabel:?distal:?instance:?proximal:?type,5
14,Neurons:Segment:medulla7column_Segment:?Neuron:?medulla7column_Neuron,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,5
15,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal:?type,4
16,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal:?type,5
17,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,5
18,Neurons:Segment:medulla7column_Segment,bodyId:post:pre:roiInfo:size:?distal:?proximal,2
19,medulla7column_Synapse:Synapse,,1
20,Neuron:Neurons:medulla7column_Segment:medulla7column_Neuron:Segment,,1
21,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal:?type,2
22,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal,3
23,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?instance:?proximal,4
24,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:post:pre:roiInfo:size:status:statusLabel:?distal:?instance:?proximal,5
25,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?cropped:?distal:?proximal,5
26,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal,4
27,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,3
28,Neuron:Neurons:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:roiInfo:size:status:statusLabel:?distal:?proximal:?type,2
